subject,protocol,method,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EEGNet-compressed,2024,12,2,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.5319148936170213,0.5294384057971014,0.52416014726185,0.059144676979072,1.607051134109497
sub-002,cross_session_train_1-4_test_5,EEGNet-compressed,2024,44,34,0.819078947368421,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.6842105263157895,0.6892191659272404,0.6781842818428184,0.37445127304653203,3.112110137939453
sub-003,cross_session_train_1-4_test_5,EEGNet-compressed,2024,23,13,0.6238191632928476,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.55,0.55,0.5444883085332524,0.09999999999999998,1.7767536640167236
sub-004,cross_session_train_1-4_test_5,EEGNet-compressed,2024,19,9,0.6944444444444444,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.49,0.49,0.4782608695652174,-0.020000000000000018,1.3634846210479736
sub-005,cross_session_train_1-4_test_5,EEGNet-compressed,2024,25,15,0.6153846153846154,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.5617977528089888,0.5616784630940344,0.5615763546798029,0.12326345036625408,1.7880535125732422
sub-006,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.8942307692307692,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.7368421052631579,0.7375776397515528,0.7368421052631579,0.4742085454947974,1.0923817157745361
sub-007,cross_session_train_1-4_test_5,EEGNet-compressed,2024,34,24,0.6666666666666667,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.59,0.5900000000000001,0.5896306676008407,0.18000000000000005,2.2798476219177246
sub-008,cross_session_train_1-4_test_5,EEGNet-compressed,2024,31,21,0.7368421052631579,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.45,0.44999999999999996,0.4405452141186044,-0.10000000000000009,2.1787683963775635
sub-009,cross_session_train_1-4_test_5,EEGNet-compressed,2024,14,4,0.5833333333333333,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.5050505050505051,0.5038775510204081,0.4976700838769804,0.007772550623849406,1.1358931064605713
sub-010,cross_session_train_1-4_test_5,EEGNet-compressed,2024,23,13,0.6369770580296896,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5773195876288659,0.5784438775510204,0.572779031045225,0.15652173913043477,1.6586861610412598
sub-011,cross_session_train_1-4_test_5,EEGNet-compressed,2024,14,4,0.569551282051282,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.45,0.45,0.4472917294744247,-0.10000000000000009,0.954681396484375
sub-012,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.5992176386913229,"1,2,3,4",stratified_train_split_0.20,5,300,75,83,0.40963855421686746,0.42021276595744683,0.4092955700798838,-0.1531046214913525,0.9275197982788086
sub-013,cross_session_train_1-4_test_5,EEGNet-compressed,2024,28,18,0.7697368421052632,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.61,0.61,0.5793334052421529,0.21999999999999997,1.9750747680664062
sub-014,cross_session_train_1-4_test_5,EEGNet-compressed,2024,18,8,0.6469161469161469,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.53,0.53,0.5242433444680635,0.06000000000000005,1.1649367809295654
sub-015,cross_session_train_1-4_test_5,EEGNet-compressed,2024,32,22,0.7606837606837606,"1,2,3,4",stratified_train_split_0.20,5,300,75,98,0.5408163265306123,0.5379166666666667,0.5298006184028148,0.07624633431085048,2.0875418186187744
sub-016,cross_session_train_1-4_test_5,EEGNet-compressed,2024,48,38,0.683974358974359,"1,2,3,4",stratified_train_split_0.20,5,316,79,91,0.4175824175824176,0.4260154738878143,0.3814287546492241,-0.14533364996437914,3.3167483806610107
sub-017,cross_session_train_1-4_test_5,EEGNet-compressed,2024,13,3,0.5375,"1,2,3,4",stratified_train_split_0.20,5,318,80,95,0.45263157894736844,0.4525709219858156,0.4525709219858156,-0.09485815602836878,0.8787236213684082
sub-018,cross_session_train_1-4_test_5,EEGNet-compressed,2024,11,1,0.6423076923076924,"1,2,3,4",stratified_train_split_0.20,5,315,79,100,0.5,0.5,0.48686371100164205,0.0,0.7179439067840576
sub-019,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.631578947368421,"1,2,3,4",stratified_train_split_0.20,5,300,76,93,0.7419354838709677,0.7504638218923934,0.7382739212007505,0.4918032786885246,1.034055471420288
sub-020,cross_session_train_1-4_test_5,EEGNet-compressed,2024,12,2,0.8333333333333334,"1,2,3,4",stratified_train_split_0.20,5,311,78,100,0.72,0.72,0.6996996996996997,0.43999999999999995,0.7984268665313721
sub-021,cross_session_train_1-4_test_5,EEGNet-compressed,2024,27,17,0.8461538461538461,"1,2,3,4",stratified_train_split_0.20,5,308,78,96,0.65625,0.6545809813287018,0.6532019704433498,0.31010452961672474,1.7961506843566895
sub-022,cross_session_train_1-4_test_5,EEGNet-compressed,2024,15,5,0.717948717948718,"1,2,3,4",stratified_train_split_0.20,5,309,78,93,0.5806451612903226,0.5826388888888889,0.5798679485694429,0.1644782308223912,0.9933586120605469
sub-023,cross_session_train_1-4_test_5,EEGNet-compressed,2024,27,17,0.7948717948717949,"1,2,3,4",stratified_train_split_0.20,5,311,78,97,0.6907216494845361,0.6904761904761905,0.6904255319148935,0.38111441939600166,1.7976157665252686
sub-024,cross_session_train_1-4_test_5,EEGNet-compressed,2024,20,10,0.5588235294117647,"1,2,3,4",stratified_train_split_0.20,5,269,68,100,0.53,0.53,0.5276856597326902,0.06000000000000005,1.2898914813995361
sub-025,cross_session_train_1-4_test_5,EEGNet-compressed,2024,33,23,0.4947447447447448,"1,2,3,4",stratified_train_split_0.20,5,289,73,100,0.56,0.56,0.5452666391070691,0.12,2.236539602279663
