subject,protocol,method,alignment,seed,epochs_ran,best_epoch,best_val_balanced_accuracy,train_sessions,val_strategy,test_session,n_train,n_val,n_test,accuracy,balanced_accuracy,macro_f1,kappa,train_seconds
sub-001,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,13,3,0.55,"1,2,3,4",stratified_train_split_0.20,5,318,80,94,0.5212765957446809,0.5244565217391304,0.5119418483904465,0.04858299595141702,1.5210914611816406
sub-002,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,18,8,0.7407894736842104,"1,2,3,4",stratified_train_split_0.20,5,309,78,95,0.6631578947368421,0.6608251996450755,0.6601073345259392,0.3229398663697105,1.2025418281555176
sub-003,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,21,11,0.623144399460189,"1,2,3,4",stratified_train_split_0.20,5,307,77,100,0.49,0.49,0.45599999999999996,-0.020000000000000018,1.3453164100646973
sub-004,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,21,11,0.7029914529914529,"1,2,3,4",stratified_train_split_0.20,5,300,75,100,0.46,0.46,0.43253467843631777,-0.08000000000000007,1.323596477508545
sub-005,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,36,26,0.7051282051282052,"1,2,3,4",stratified_train_split_0.20,5,308,78,89,0.6179775280898876,0.6205763397371082,0.6167679837892603,0.23969849246231156,2.033785581588745
sub-006,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,24,14,0.8557692307692307,"1,2,3,4",stratified_train_split_0.20,5,299,75,95,0.5473684210526316,0.5499112688553682,0.545555679163422,0.09922822491730976,1.40395188331604
sub-007,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,17,7,0.5256410256410257,"1,2,3,4",stratified_train_split_0.20,5,310,78,100,0.53,0.53,0.5295766189570613,0.06000000000000005,1.0845425128936768
sub-008,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,17,7,0.5394736842105263,"1,2,3,4",stratified_train_split_0.20,5,303,76,100,0.49,0.49,0.3288590604026846,-0.020000000000000018,1.1112592220306396
sub-009,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,20,10,0.6060897435897435,"1,2,3,4",stratified_train_split_0.20,5,315,79,99,0.46464646464646464,0.46469387755102043,0.46464646464646464,-0.07059783717608648,1.2703139781951904
sub-010,cross_session_train_1-4_test_5,EA+EEGNet-compressed,euclidean_alignment_unsupervised_target,2024,41,31,0.5981781376518218,"1,2,3,4",stratified_train_split_0.20,5,306,77,97,0.5463917525773195,0.5471938775510204,0.544017094017094,0.09422750424448212,2.417024612426758
